month,year,Product Card Id,Product Price,Category Name,Department Name,Market,Order Item Quantity
2,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
1,2018,1360,327.75,Sporting Goods,Fitness,Pacific Asia,1
2,2016,365,59.99000168,Cleats,Apparel,Pacific Asia,2
10,2016,627,39.99000168,Shop By Sport,Golf,Pacific Asia,2
4,2016,502,50.0,Women's Apparel,Golf,Pacific Asia,2
11,2016,627,39.99000168,Shop By Sport,Golf,Pacific Asia,2
12,2016,502,50.0,Women's Apparel,Golf,Pacific Asia,2
1,2017,502,50.0,Women's Apparel,Golf,Pacific Asia,2
10,2015,502,50.0,Women's Apparel,Golf,Pacific Asia,2
6,2016,278,44.99000168,Electronics,Footwear,USCA,2
8,2016,249,54.97000122,Boxing & MMA,Footwear,USCA,2
4,2016,365,59.99000168,Cleats,Apparel,USCA,2
5,2016,365,59.99000168,Cleats,Apparel,USCA,2
10,2016,191,99.98999786,Cardio Equipment,Footwear,Africa,3
11,2016,627,39.99000168,Shop By Sport,Golf,Africa,3
11,2016,917,21.98999977,Trade-In,Outdoors,Africa,3
12,2016,828,31.98999977,Electronics,Outdoors,Africa,3
7,2015,191,99.98999786,Cardio Equipment,Footwear,Europe,3
7,2017,191,99.98999786,Cardio Equipment,Footwear,Europe,3
8,2017,191,99.98999786,Cardio Equipment,Footwear,Europe,3
9,2015,365,59.99000168,Cleats,Apparel,Europe,3
7,2017,365,59.99000168,Cleats,Apparel,Europe,3
9,2015,365,59.99000168,Cleats,Apparel,Europe,3
8,2017,365,59.99000168,Cleats,Apparel,Europe,3
7,2017,502,50.0,Women's Apparel,Golf,Europe,3
8,2017,627,39.99000168,Shop By Sport,Golf,Europe,3
9,2017,502,50.0,Women's Apparel,Golf,Europe,3
7,2015,917,21.98999977,Trade-In,Outdoors,Europe,3
4,2015,191,99.98999786,Cardio Equipment,Footwear,LATAM,3
4,2017,365,59.99000168,Cleats,Apparel,LATAM,3
5,2017,365,59.99000168,Cleats,Apparel,LATAM,3
4,2015,365,59.99000168,Cleats,Apparel,LATAM,3
4,2015,365,59.99000168,Cleats,Apparel,LATAM,3
4,2015,365,59.99000168,Cleats,Apparel,LATAM,3
6,2017,365,59.99000168,Cleats,Apparel,LATAM,3
2,2017,365,59.99000168,Cleats,Apparel,LATAM,3
4,2015,502,50.0,Women's Apparel,Golf,LATAM,3
4,2015,627,39.99000168,Shop By Sport,Golf,LATAM,3
4,2017,502,50.0,Women's Apparel,Golf,LATAM,3
4,2015,502,50.0,Women's Apparel,Golf,LATAM,3
3,2017,502,50.0,Women's Apparel,Golf,LATAM,3
3,2015,502,50.0,Women's Apparel,Golf,LATAM,3
2,2015,502,50.0,Women's Apparel,Golf,LATAM,3
2,2015,502,50.0,Women's Apparel,Golf,LATAM,3
2,2017,502,50.0,Women's Apparel,Golf,LATAM,3
1,2017,627,39.99000168,Shop By Sport,Golf,LATAM,3
3,2015,502,50.0,Women's Apparel,Golf,LATAM,5
2,2017,627,39.99000168,Shop By Sport,Golf,LATAM,5
4,2015,627,39.99000168,Shop By Sport,Golf,LATAM,5
4,2017,502,50.0,Women's Apparel,Golf,LATAM,5
4,2015,502,50.0,Women's Apparel,Golf,LATAM,5
2,2017,642,30.0,Shop By Sport,Golf,LATAM,5
4,2017,627,39.99000168,Shop By Sport,Golf,LATAM,5
3,2017,502,50.0,Women's Apparel,Golf,LATAM,5
2,2017,502,50.0,Women's Apparel,Golf,LATAM,5
4,2017,627,39.99000168,Shop By Sport,Golf,LATAM,5
2,2015,502,50.0,Women's Apparel,Golf,LATAM,5
5,2017,502,50.0,Women's Apparel,Golf,LATAM,5
3,2015,627,39.99000168,Shop By Sport,Golf,LATAM,5
6,2017,502,50.0,Women's Apparel,Golf,LATAM,5
1,2015,627,39.99000168,Shop By Sport,Golf,LATAM,5
5,2017,502,50.0,Women's Apparel,Golf,LATAM,5
3,2017,502,50.0,Women's Apparel,Golf,LATAM,5
